=== Inventory Report ===
Generated By: Admin
Generated On: 2025-10-22 07:35:26
------------------------------------------------------------
ID,Name,Category,Quantity,Price
1,laptop,electronics,2,90000.0
2,table,furniture,5,5000.0
3,pen,stationery,10,100.0
4,Apple,fruits,5,150.0
5,LED Monitor,Electronics,15,12500.0
6,USB-C Charger,Accessories,60,950.0
7,Refrigerator,Home Appliance,8,45000.0
8,Washing Machine,Home Appliance,5,52000.0
9,Electric Kettle,Home Appliance,30,1800.0
10,Air Conditioner,Home Appliance,6,56000.0
11,Office Chair,Furniture,20,7200.0
12,Study Table,Furniture,12,8500.0
13,Pen Drive 32GB,Accessories,80,550.0
14,Power Bank 10000mAh,Electronics,35,1800.0
15,Notebook A4,Stationery,120,65.0
16,Gel Pen (Pack of 10),Stationery,75,130.0
17,Printer Cartridge,Electronics,18,2200.0
18,Router Dual Band,Electronics,22,3200.0
19,Bluetooth Speaker,Accessories,28,2800.0
20,Smart Watch,Electronics,30,7500.0
101,cashew,nuts,10,100.0
------------------------------------------------------------
Total Products: 21
